Time,"Theta - radians (5 m, 20 degrees)","Theta - degrees (5 m, 20 degrees)","Theta - radians (5 m, 15 degrees)","Theta - degrees (5 m, 15 degrees)","Theta - radians (2.5 m, 20 degrees)","Theta - degrees (2.5 m, 20 degrees)","Theta - radians (2.5 m, 15 degrees)","Theta - degrees (2.5 m, 15 degrees)"
1.4125,-7.911680758,-0.138084879,-5.933760569,-0.103563659,-18.82160825,-0.328499034,-14.11620619,-0.246374276
1.41875,-8.072101053,-0.140884741,-6.05407579,-0.105663556,-18.90386109,-0.329934617,-14.17789582,-0.247450963
1.446153846,-8.768024265,-0.153030892,-6.576018199,-0.114773169,-19.2301797,-0.335629952,-14.42263478,-0.251722464
1.45,-8.864688313,-0.154717998,-6.648516235,-0.116038499,-19.27146972,-0.336350598,-14.45360229,-0.252262949
1.425,-8.231903331,-0.143673817,-6.173927498,-0.107755363,-18.98321932,-0.33131968,-14.23741449,-0.24848976
1.45,-8.864688313,-0.154717998,-6.648516235,-0.116038499,-19.27146972,-0.336350598,-14.45360229,-0.252262949
1.45,-8.864688313,-0.154717998,-6.648516235,-0.116038499,-19.27146972,-0.336350598,-14.45360229,-0.252262949
1.45,-8.864688313,-0.154717998,-6.648516235,-0.116038499,-19.27146972,-0.336350598,-14.45360229,-0.252262949
1.4625,-9.177056938,-0.160169859,-6.882792704,-0.120127394,-19.3979325,-0.33855779,-14.54844938,-0.253918343
1.46875,-9.332193296,-0.162877499,-6.999144972,-0.122158125,-19.45671322,-0.339583707,-14.59253491,-0.25468778
1.496153846,-10.00381516,-0.174599512,-7.502861368,-0.130949634,-19.67916437,-0.343466212,-14.75937328,-0.257599659
1.5,-10.09692209,-0.176224535,-7.572691569,-0.132168401,-19.70576369,-0.343930458,-14.77932277,-0.257947844
